registration,raw_name,clean_name,category
231661455,ALPHA OMEGA CHARITABLE SOCIETY,alpha omega,0
231660858,Alternative Futures,alternative future,0
231661745,AMAN N.G.O.,aman n g,0
231660555,Aman Public Charitable Trust,aman public,0
231661645,aman uday,aman uday,0
231650260,Amar Jyoti Charitable Trust Delhi,amar jyoti delhi,0
231650449,American Institute Of Indian Studies,american institute indian study,0
231661732,AN INITIATIVE-TOUCH YOUR SOUL,initiative touch soul,0
231661873,Anahad Foundation,canada,0
231650957,Ananda Mission Charitable Trust,ananda mission,0
231660826,Ananda Sangha,ananda sangha,0
231661619,ANANTA ASPEN CENTRE,ananta aspen,0
231660732,Animal Rahat,animal rahat,0
231660472,Animal Rights International,animal right international,0
231661110,ANK,ank,0
231650880,Ankur Public Charitable Trust,ankur public,0
231650214,Ankur Society For Alternatives In Education,ankur alternative,0
231661176,ANM CHARITABLE TRUST,Blank,0
231660274,Anugraha,anugraha,0
231661460,ANUGRAHA DRISHTIDAAN,anugraha drishtidaan,0
231661038,ANUSARAN,austrian,0
231661637,Apollo Tyres Foundation,apollo tyre,0
231661861,APPAREL TRAINING AND DESIGN CENTRE,apparel training design,0
231660543,Appropriate Technology Asia,appropriate technology asia,0
231650996,Appropriate Technology India,appropriate technology,0
231660902,ARADHANA CHRISTIAN WELFARE SOCIETY,maradona christian,1
231660966,Arogya Foundation Of India,royal,0
231660518,Aroh Foundation,arch,0
231661437,Art for Change Foundation Charitable Trust,art change,0
231661536,Arya Samaj Kailash and Greater Kailash I,arya samaj kailash great kailash,0
231650841,Asha Community Health & Development Society,asha community health,0
231660731,Asha Deep Foundation,asha deep,0
231661013,Asheray Welfare and Charitable Society,asheray,0
231661157,ASHISH FOUNDATION FOR THE DIFFERENTLY ABLED CHARITABLE TRUST,ashish differently able,0
231660531,Ashoka Innovators for the Public (India),ashoka innovator public,0
231660598,Asian Centre for Human Rights,asian human right,0
231660247,Asian Indegenous & Tribal Peoples Network,asian indigenous tribal people network,0
231650849,Asian Society For Enter. Education & Development,asian enter,0
231661825,ASOKA MISSION,ashoka mission,0
231661757,Aspam Foundation,spam,0
231650487,Assemblies Of God Ministries,assembly god ministry,1
231661818,ASSEMBLY OF NEW LIFE MISSION CHURCH,assembly new life mission church,1
231650489,Association For Advance & Rehabilitation Of Handicapped,advance rehabilitation handicap,0
231650992,Association For Development,Blank,0
231660946,ASSOCIATION FOR LEARNING PERFORMING ARTS AND NORMATIVE ACTION,learn perform art normative action,0
231650854,Association For Social Health In India,health,0
231660042,Association For Social Research & Action,research action,0
231661282,ASSOCIATION FOR SOCIAL SERVICE AND REHABILITATION OF THE AGED ASSRA,rehabilitation age astra,0
231650801,Association For Stimulating Know-how,stimulating know,0
231650169,Association For Voluntary Action,voluntary action,0
231661139,Association for Welfare Social Action and Research  India,action research,0
231660385,Association of Revival Tebernacle,revival tebernacle,0
231650041,Association Of The Sisters Of The Destitute For Social Welfare,sister destitute,1
231650021,Association Of Voluntary Agencies For Rural Development,voluntary agency,0
231650955,Astha,asthma,0
231661794,ASTHA,asthma,0
231650413,Astha Sansthan,asthma samantha,0
231661574,At Grassroots Society,grassroots,0
231661175,ATMASHAKTI,atmashakti,0
231660677,Auro Mira Service Society,auro mira,0
231661789,Avtar Development Foundation,altar,0
231650995,Awakening Jagriti,awaken jagriti,0
231660686,Award Programme Foundation,award programme,0
231661306,AZAD FOUNDATION,azad,0
231661318,Baas Educational Trust,baa,0
231650894,Bahu Rao Deoras Rasjtriya Seva Nyas,bahu rao idea rasjtriya sea na,0
231660937,Bal Ashram Trust,bal ashram,0
231660869,Bal Raksha Bharat,bal raksha bharat,0
231650273,Bal Sahyog,bal say,0
231661736,BAL UMANG DRISHYA SANSTHA,bal umang krishna spanish,0
231660071,Bal Vikas Dhara,bal vikas dhara,0
231661510,BASANT CHARITABLE TRUST,basalt,0
231661425,BASIC FOUNDATION,basic,0
231660245,Baweja Khushbir Singh and Gopala Trust,baja khushbir singh gopala,0
231661740,BETHANY CHRISTIAN ASSEMBLY,bethany christian assembly,1
231661061,Bethesda Charitable Endeavors,bethesda endeavor,1
231660012,Bhadrajun Artisans Turst,bhadrajun artisan,0
231650899,Bharat Kalyan Pratishthan,bharat kalyan pratishthan,0
231661820,Bharat Ke Veer,bharat ke veer,0
231660340,Bharat Lok Shiksha Parishad,bharat lok shiksha parishad,0
231661787,BHARAT RURAL LIVELIHOODS FOUNDATION,bharat livelihood,0
231650461,Bharat Soka Gakkai,bharat soda gakkai,0
231660130,Bharat Vikas Parishad,bharat vikas parishad,0
231660469,Bharteeya Jansewa Sansthan,bharatiya swansea samantha,0
231660584,Bharti Foundation,bharti,0
231660232,Bhartiya Adim Jati Sevak Sangh,bharatiya aim ati sevak sangh,0
231650656,Bhartiya Ptita Udhar Sabha,bharatiya ptita udhar sabha,0
231650587,Bhartiya Yuva Shakti Trust,bharatiya uva shakti,0
231661612,BHAVISHYA BHARAT,bhavishya bharat,0
231661017,BIBLICAL COUNSELING TRUST OF INDIA,biblical counseling,1
231661747,Billion Hearts Beating Foundation,billion heart beat,0
231661314,BLIND WELFARE SOCIETY,blind,0
231661881,BML MUNJAL UNIVERSITY,bml unable university,0
231661879,BORISU SESANG FOUNDATION,boris sesang,0
231660331,Bosco Organisation for Social Concern and Operation,bosco organisation concern operation,1
231661642,BOSCONET,bosconet,0
231660413,Breakthrough Trust,breakthrough,0
231661601,BREAST CANCER PATIENTS BENEFIT FOUNDATION,breast cancer patient benefit,0
231660775,Buddha Education Foundation,buddha,0
231660160,Buddhist Womens Educational Society,buddhist woman,0
231660526,Business and Community Foundation,business community,0
231650603,Butterflies,butterfly,0
231660043,C B C I Society for Social Communication Research  and  Training,c b c communication research training,0
231650271,C N I Trust Association,c n,0
231661613,CANKIDS...KIDSCAN,cankids kidman,0
231660040,Cansupport,cansupport,0
231661040,CARE AND CONCERN TRUST,care concern,0
231661331,CARE INDIA SOLUTIONS FOR SUSTAINABLE DEVELOPMENT,care solution sustainable,0
231660091,Care Today Fund,care today fund,0
231661735,CARE VILLAGE FOUNDATION,care village,0
231650203,Caritas India,caritas,0
231660972,CARMEL COMMUNITY TRUST,carmel community,1
231650246,Carmelite Fathers,carmelite father,1
231650220,Catholic Bishop's Conference Of India,catholic bishop conference,1
231661059,CATHOLIC CHARISMATIC RENEWAL SERVICES,catholic charismatic renewal service,1
231650490,Ceefi Supply Centre Trust,ceefi supply,0
231661316,CENTERS FOR INTERNATIONAL PROJECTS TRUST,center international project,0
231650446,Central Himalayan Rural Action Group (CHIRAG),central himalayan action group chirag,0
231661695,CENTRAL SQUARE FOUNDATION,central square,0
231650007,Centre  For Policy Research,policy research,0
231660514,Centre for Action Research and Management in Developing Attitudes  Knowledge,action research management develop attitude knowledge,0
231660104,Centre For Advocacy & Research,advocacy research,0
231661020,CENTRE FOR BUDGET AND GOVERNANCE ACCOUNTABILITY,budget governance accountability,0
231661003,Centre for Catalyzing Change,catalyze change,0
231660448,Centre for Chronic Disease Control,chronic disease control,0
231660123,Centre For Civil Society,civil,0
231660212,Centre For Cross Cultural Communication,cross cultural communication,0
231650759,Centre For Development Economics,economics,0
231650113,Centre For Ecucation And Communication,communication,0
231661130,Centre for Equity Studies,equity study,0
231661188,CENTRE FOR HEALTH AND SOCIAL JUSTICE,health justice,0
231661653,CENTRE FOR LAND WARFARE STUDIES (CLAWS),land warfare study claw,0
231660904,CENTRE FOR MEDIA AND ALTERNATIVE COMMUNICATIONS(CMAC),medium alternative communication cmac,0
231650823,Centre For Media Studies,medium study,0
231660377,Centre for North East Studies and Policy Research,north east study policy research,0
231661776,Centre for Research in Ayurveda and Social Medicine for International Brotherhood,research ayurveda medicine international brotherhood,0
231661754,CENTRE FOR RESPONSIBLE BUSINESS (CRB),responsible business crb,0
231650302,Centre For Science & Environment,science environment,0
231661444,CENTRE FOR SOCIAL EQUITY AND INCLUSION,equity inclusion,0
231661709,Centre for Social Responsibility and Leadership,responsibility leadership,0
231650093,Centre For Study Of Developing Societies,study develop society,0
231660668,Centre for Urban and Regional Excellence,urban regional excellence,0
231650186,Centre For Women's Development Studies,woman study,0
231660070,Centre For Workers Management,worker management,0
231661783,Centum Foundation,centum,0
231660165,Charities Aid Foundation India,charity aid,0
231650999,Charkha,chatham,0
231661069,Cheshire Home India Delhi Unit,cheshire home delhi unit,0
231650879,Chetanalaya,chetanalaya,0
231661400,CHIKITSA,chikitsa,0
231650315,Child Fund India,child fund,0
231661866,Child Heart Foundation,child heart,0
231660840,CHILD HOME,child home,0
231660820,CHILD LEARN (Child Labour Elimination Network),child learn child labour elimination network,0
231660113,Child Survival India,child survival,0
231660635,Childhood Enhacement Through Training and Action,childhood enhancement training action,0
231661615,Childreach India,childreach,0
231650754,Children Of The World,child world,0
231661652,CHILDRENS HOPE,childrens hope,0
231660049,Childwatch - India,childwatch,0
231660970,CHINGARI TRUST,chingari,0
231660162,Chintan Environmental Research & Action Group,china environmental research action group,0
231650290,Christian Educational Society,christian,1
231660917,CHRISTIAN EVENGELISTIC ASSEMBLIES,christian evengelistic assembly,1
231661136,Christian Foundation Charitable Trust,christian,1
231650548,Christian Medical Association Of India,christian medical,1
231650066,Church Of Nazarane,church nazarene,1
231650047,Church's Auxiliary For Social Action,church auxiliary action,1
231661609,CII FOUNDATION,cii,0
231650038,Cni Shishu Sangopan Griha,cni shishu angolan griha,0
231650054,CNI Synodical Board Of Social Services,cni synodical board service,0
231651005,COLLABORATIVE RESEARCH AND DISSEMINATION,collaborative research dissemination,0
231661407,Collectives for Integrated Livelihood Initiatives CInI,collective integrate livelihood initiative cini,0
231650659,Common Cause,common cause,0
231660812,Community Foundation for Children and Aging,community child age,0
231660559,Community Management Foundation,community management,0
231661350,COMMUTINY   THE YOUTH COLLECTIVE,commute youth collective,0
231660005,Concern,concern,0
231660479,Concern for Humanity,concern humanity,0
231660406,Confederation of Indian Industry,confederation indian industry,0
231650714,Conference Of Catholic Bishops Of India,conference catholic bishop,1
231650042,Conference Of Religious  India,conference religious,0
231650263,Conference Of Religious Women  India,conference religious woman,0
231660326,Conserve,conserve,0
231661303,CONTROL ARMS FOUNDATION OF INDIA TRUST,control arm,0
231660118,Coopreative Outreach Of India,cooperative outreach,0
231650590,COORDINATION COMMITTEE FOR WELFARE OF LEPROSY PATIENTS,coordination committee leprosy patient,0
231660837,CORD,cord,0
231650559,Council For Social Development,council,0
231661640,COUNCIL ON ENERGY  ENVIRONMENT AND WATER,council energy environment water,0
231661211,CPS International (Centre For Peace And Spirituality),cps international peace spirituality,0
231660359,CREA,crea,0
231661728,CSEP RESEARCH FOUNDATION,sep research,0
231661362,CURE INTERNATIONAL INDIA TRUST,cure international,0
231661339,CUTS INSTITUTE FOR REGULATION & COMPETITION,cut institute regulation competition,0
231650869,D K T India,k,0
231661755,Dalmia Bharat Foundation,dalmia bharat,0
231650907,Darshan Education Foundation,darshan,0
231650259,Dastkar,bastard,0
231661286,DATA SECURITY COUNCIL OF INDIA,data security council,0
231660624,Datamation Foundation Charitable Trust,adaptation,0
231661767,DEAF CRICKET SOCIETY,deaf cricket,0
231650448,Deen Dayal Research Institute,deen dayal research institute,0
231661456,Deep Welfare Organisation,deep organisation,0
231650025,Deepalaya,deepalaya,0
231661114,Deepshikha Samiti,deepshikha samiti,0
231661043,DEEPTI FOUNDATION,deep,0
231661449,DELHI BHARAT VIKAS FOUNDATION,delhi bharat vikas,0
231650306,Delhi Bible Fellowship,delhi bible fellowship,1
231650283,Delhi Bible Institute,delhi bible institute,1
231650056,Delhi Catholic Archdiocese,delhi catholic archdiocese,1
231660639,Delhi Charismatic Renewal Services,delhi charismatic renewal service,0
231650375,Delhi Commonwealth Women's Association,delhi commonwealth woman,0
231650267,Delhi Council For Child Welfare,delhi council child,0
231650135,Delhi Diocese Overseas Grant Fund,delhi diocese overseas grant fund,1
231650525,Delhi Foundation Of Deaf Women,delhi deaf woman,0
231650098,Delhi Fransalian Society,delhi fransalian,1
231660254,Delhi House Sociey,delhi house,0
231650551,Delhi Jesuit Society,delhi jesuit,1
231650002,Delhi Orthodox Diocesan Council,delhi orthodox diocesan council,1
231660196,Delhi Policy Group,delhi policy group,0
231650085,Delhi Samajik Vikas Kendra,delhi samurai vikas kendra,0
231661888,DELHI SIKH GURUDWARA MANAGEMENT COMMITTEE,delhi sikh gurudwara management committee,0
231650460,Delhi Tamil Church,delhi tamil church,1
231661474,DELHITES SYRO MALABAR MISSION,delhites syro malabar mission,0
231660100,Deshkal Sociesty,deshkal,0
231660530,Dev Pro,dev pro,0
231660486,Devahuti Damodar Svaraj Trust,devahuti diamond svaraj,0
231661708,DEVELOPMENT AND JUSTICE INITIATIVE,justice initiative,0
231650775,Development Centre For Alternative Policies,alternative policy,0
231661457,DEVELOPMENT CONSORTIUM,consortium,0
231661876,DEVELOPMENT MANAGEMENT FOUNDATION,management,0
231650794,Development Research & Action Group,research action group,0
231661799,Dharmalife Foundation,dharmalife,0
231650566,Dharmshila Cancer Foundation & Research Centre,dharmshila cancer research,0
231661192,DHRIITI THE COURAGE WITHIN,christi courage within,0
231660423,Dhruvh Social Awareness Forum,dhruvh awareness forum,0
231661515,DHYAN FOUNDATION,dayan,0
231661208,DIGITAL EMPOWERMENT FOUNDATION,digital empowerment,0
231661629,Diksha Foundation,dish,0
231661719,DISCIPLESHIP CARE NETWORK,discipleship care network,0
231650032,Discipleship Centre,discipleship,0
231650748,Disha Trust,dish,0
231650967,Divya Jyoti Jagriti Sansthan,divya jyoti jagriti samantha,0
231661753,DOLMA PHODRANG FOUNDATION,dolma phodrang,0
231660341,Don Bosco National Forum for Young at Risk,bosco national forum young risk,1
231661265,DON BOSCO TECH SOCIETY,bosco tech,1
231650114,Don Bosco Technical Institute,bosco technical institute,1
231650119,Don Bosco Yuva Kendra,bosco uva kendra,1
231661547,DONKEY SANCTUARY WELFARE ASSOCIATION,donkey sanctuary,0
231650897,Dr. A V Baliga Memorial Trust,dr v baltic memorial,0
231650396,Dr. Shroffs Charity Eye Hospital,dr shroffs eye hospital,0
231661739,DREAM GIRL FOUNDATION,dream girl,0
231660943,DTEA Alumini Trust,tea alumnus,0
231661667,E & H Foundation,e h,0
231661181,EARTHCARE OUTREACH TRUST,earthcare outreach,0
231661475,EARTHWATCH INSTITUTE INDIA TRUST,smartwatch institute,0
231661529,EAST WEST EDUCATIONAL FOUNDATION,east west,0
231660569,Economic Research Foundation,economic research,0
231661329,ECOSOLUTIONS,resolution,0
231661254,EDA Rural Artha Vikas,eda artha vikas,0
231661445,Education Quality Foundation of India,quality,0
231660039,Educational & Development Initiatives,initiative,0
231661890,EDUJOIN TRAINING FOUNDATION,rejoin training,0
231660324,EFRAH (A SOCIETY FOR SOCIAL WELFARE),efrah,0
231660220,Ekal  Vidyalaya Foundation Of India,kal vidyalaya,0
231660513,Ekjut,Blank,0
231661280,Ekta Shakti Foundation,eta shakti,0
231660730,Emission Controls Manufacturers Association,emission control manufacturer,0
231650016,Emmanuel Hospital Association,emmanuel hospital,0
231661790,Empower Foundation,empower,0
231661880,EMPOWER PEOPLE,empower people,0
231661607,Empowering Minds Society for Research and Development,empower mind research,0
231661462,EMPOWERING THE VISION PROJECT,empower vision project,0
231660908,Enable Health Society,enable health,0
231661766,Environment And Social Research Organization,environment research organization,0
231661230,Etasha  A Society for Enabling and Training Adolscents for Successful and Healthy Adulthood,etasha enable training adolescent successful healthy adulthood,0
231661128,ETERNAL PRAYER FELLOWSHIP,eternal prayer fellowship,1
231650058,Evangelical Fellowship Of India,evangelical fellowship,1
231660036,Evangelical Trust Association Of North India,evangelical north,1
231661661,Extension For Community Healthcare Outcomes,extension community healthcare outcome,0
231660831,Family Health and Education,family health,0
231650457,Family Welfare Foundation,family,0
231661535,Federation of Indian Animal Protection Organisations,federation indian animal protection organisation,0
231661418,FEDERATION OF INDIAN CHAMBERS OF COMMERCE  AND INDUSTRY,federation indian chamber commerce industry,0
231661516,Feminist Approach to Technology Society,feminist approach technology,0
231650985,Financial Management Service Foundation,financial management,0
231660013,Fluorosis Research & Rural Development Foundation,fluorosis research,0
231660699,Focus Humanitarian Assistance India,focus humanitarian assistance,0
231661666,FOOD SECURITY FOUNDATION INDIA,food security,0
231660893,FORUM FOR ORGANISED RESOURCE CONSERVATION AND ENHANCEMENT,forum organise resource conservation enhancement,0
231660588,Foundation for Academic Excellence & Access,academic excellence access,0
231660550,Foundation for Development Initiatives,initiative,0
231660521,Foundation for Ecological Security,ecological security,0
231660328,Foundation for Innovation and Technology Transfer (FITT),innovation technology transfer fit,0
231660983,FOUNDATION FOR MSME CLUSTERS,mime cluster,0
231661467,Foundation for Non violent Alternatives,non violent alternative,0
231661602,FOUNDATION FOR ORGANISATIONAL RESEARCH AND EDUCATION,organisational research,0
231661892,FOUNDATION FOR REPRODUCTIVE HEALTH SERVICES INDIA,reproductive health service,0
231650065,Foundation For Rural Recovery And Development,recovery,0
231650239,Foundation To Aid Industirial Recovery,aid industrial recovery,0
231661877,Full Life Assembly Of God (FLAG),full life assembly god flag,1
231660665,Future Point,future point,0
231660155,Gandhi Peace Centre,gandhi peace,0
231660692,Gandhi Peace Foundation,gandhi peace,0
231661663,GANGA SOCIAL FOUNDATION,ganga,0
231650843,Gaweylon Programme For Communications,gaweylon programme communication,0
231661237,GELUK INTERNATIONAL FOUNDATION,geluk international,0
231650825,Gene Campaign,gene campaign,0
231661448,GEOHAZARDS SOCIETY,geohazards,0
231661749,Global Compact Network,global compact network,0
231661764,Global Family Charitable Trust,global family,0
231650797,Global Tiger Forum,global tiger forum,0
231661731,GlobalHunt Foundation,globalhunt,0
231661824,Godhuli,godhuli,0
231660874,Going to School Fund,go school fund,0
231650017,Good News Broadcasting Society,good news broadcasting,0
231661771,Goodearth Education Foundation,goodyear,0
231660618,Goonj,goonj,0
231661189,GRACE ACTION INDIA,grace action,1
231660318,Gramin Vikas Trust,grain vikas,0
231661543,GRAND CIRCLE FOUNDATION INDIA,grand circle,0
231650299,Green Park Free Church,green park free church,1
231660994,Guild for Service,guild,0
231660205,Guild Of Service,guild,0
231660759,Guruji Ka Ashram,guruji ka ashram,0
231660981,Habitat for Humanity India Trust,habitat humanity,0
231650409,Haidkhandi Samaj,haidkhandi samaj,0
231660059,Hans Culture Centre,han culture,0
231661397,HAPPY ENGLISH SCHOOL SOCIETY,happy english school,0
231660332,HAQ Centre for Child Rights,haq child right,0
231661164,HARMONIOUS CHILDREN REHABILITATION ASSOCIATION,harmonious child rehabilitation,0
231650633,Harnam Singh Harbans Kaur Charitable Trust,haram singh saharan kaur,0
231661052,HARVEST MISSION TO THE UNREACHED,harvest mission unreached,0
231661037,HAZRAT INAYAT KHAN FOUNDATION,hazrat binary khan,0
231650682,Hazrat Inayat Khan Memorial Trust,hazrat binary khan memorial,0
231661874,HCL FOUNDATION,hcl,0
231660440,Health Fitness Trust,health fitness,0
231661835,HEALTHY AGING INDIA,healthy age,0
231650010,Helpage India,helpage,0
231650667,Hemophilia Federation (india),hemophilia federation,0
231660090,Himalaya Consortium For  Himalyan Conservation,himalaya consortium himalayan conservation,0
231650872,Himalayan Buddhist Cultural Association,himalayan buddhist cultural,0
231660252,Himalayan Region Study And Research Institute,himalayan region study research institute,0
231661638,HINDU COLLEGE,hindu college,0
231650143,Holy Cross Social Service Centre,holy cross,0
231660711,Holy Family Asha Niwas Social Welfare Society,holy family asha niwas,0
231660691,Hope for All Charitable Trust,hope,0
231650820,Hope Foundation,hope,0
231661240,hope foundation vadodara,hope vadodara,0
231661186,HOPE INTERNATIONAL,hope international,0
231650803,Hope Project Charitable Trust,hope project,0
231660788,Hope Worldwide,hope worldwide,0
231650182,House Of Mary Immaculate,house mary immaculate,1
231661169,HOUSING AND LAND RIGHTS NETWORK,housing land right network,0
231660284,Hriday,friday,0
231660723,Human Development Society,human,0
231661366,HUMAN DEVELOPMENT WELFARE SOCIETY,human,0
231660194,Humana People To People India,humana people people,0
231661875,Humanitarian Aid International,humanitarian aid international,0
231661891,Hunger Heroes,hunger hero,0
231661332,ICE SKATING ASSOCIATION OF INDIA,ice skate,0
137400021,ICLEI - LOCAL GOVERNMENTS FOR SUSTAINABILITY - SOUTH ASIA,iclei local government sustainability south asia,0
231661589,IDFC Foundation,idf,0
231661681,IIP FOUNDATION,ii,0
231650951,Ila Trust,ila,0
231661121,Imam Quasim Islamic Educational Welfare Trust,imam quasi islamic,0
231661742,INA RAJA MEMORIAL EDUCATION TRUST,ina raja memorial,0
231650913,Inderprastha Cancer Society,inderprastha cancer,0
231650184,India Bible Publishers,bible publisher,1
231661053,INDIA CARES,care,0
231660984,INDIA CHILD PROTECTION FUND,child protection fund,0
231660955,INDIA DEVELOPMENT FOUNDATION,Blank,0
231661082,INDIA FOUNDATION,Blank,0
231661683,India Foundation,Blank,0
231660645,India HIV/AIDS Alliance,hiv aid alliance,0
231661081,INDIA INSTITUTE FOR CRITICAL ACTION CENTRE IN MOVEMENT,institute critical action movement,0
231650898,India International Centre,international,0
231661724,INDIA RESOURCES TRUST,resource,0
231661592,INDIA SMART GRID FORUM,smart grid forum,0
231660414,India Sponsor Foundation,sponsor,0
231650936,India Vision Foundation,vision,0
231650026,Indian  Social Institute,indian institute,0
231650081,Indian Assn Of Parliamentarian On Population Development,indian assn parliamentarian population,0
231650690,Indian Association of Womens Studies,indian woman study,0
231650614,Indian Christian Mission (regd),indian christian mission red,1
231650973,Indian Church Of Christ,indian church christ,1
231660115,Indian Coalition For Control Of Iodine Deficiency Disorders,indian coalition control iodine deficiency disorder,0
231650316,Indian Council for Research on International Economic Relations,indian council research international economic relation,0
231650371,Indian Environmental Society,indian environmental,0
231650982,Indian Evangelical Team,indian evangelical team,1
231660021,Indian Grameen Services,indian grameen service,0
231661201,INDIAN HEAD INJURY FOUNDATION,indian head injury,0
231661802,INDIAN HERITAGE CITIES NETWORK FOUNDATION,indian heritage city network,0
231650221,Indian Inland Mission,indian inland mission,0
231661405,INDIAN INSTITUTE FOR HUMAN SETTLEMENTS,indian institute human settlement,0
231660773,Indian Institute of Dalit Studies,indian institute dalit study,0
231661656,INDIAN INSTITUTE OF SCIENCES,indian institute science,0
231650606,Indian National Academy Of Engineering,indian national academy engineering,0
231650350,Indian National Trust For Art Culture And Heritage,indian national art culture heritage,0
231661690,Indian New Life Society,indian new life,0
231650379,Indian Pentecostal Church Of God,indian pentecostal church god,1
231650003,Indian Red Cross Society,indian red cross,0
231661833,INDIAN SOCIAL RESPONSIBILITY NETWORK,indian responsibility network,0
231661174,Indian Society for Applied Research and Development,indian apply research,0
231650082,Indian Society For Promotion Of Christian Knowledge,indian promotion christian knowledge,1
231660466,Indian Society of Agribusiness Professionals,indian agribusiness professional,0
231660528,Indian Sociological Society,indian sociological,0
231661351,INDIAN TRUST FOR RURAL HERITAGE AND DEVELOPMENT,indian heritage,0
231660878,INDIAN WOMEN AND CHILD WELFARE TRUST,indian woman child,0
231660880,INDO US SCIENCE AND TECHNOLOGY FORUM,indo u science technology forum,0
231650067,Indo-Global Social Service Society,indo global,0
231661443,Indraprastha Public Affairs Centre,indraprastha public affair,0
231661684,Indus Action Initiatives,indus action initiative,0
231650080,INDUSTRIALL GLOBAL UNION,industrial global union,0
231660460,Initiative for Social Change and Action,initiative change action,0
231661210,Inlaks India Foundation,inlaks,0
231661101,Innovative Educational And Welfare Society,innovative,0
231660362,Inspiration,inspiration,0
231661632,INSTITUTE FOR GLOBAL DEVELOPMENT,institute global,0
231660184,Institute For Human Development,institute human,0
231650501,Institute For Resource Management & Economic Development,institute resource management economic,0
231660807,INSTITUTE FOR SOCIAL DEMOCRACY,institute democracy,0
231650524,Institute Of Economic Growth,institute economic growth,0
231660366,Institute of Objective Studies,institute objective study,0
231650241,Institute Of Sisters Of Charity,institute sister,1
231650405,Institute Of Social Sciences,institute science,0
231650094,Institute Of Social Service,institute,0
231650070,Institute Of Social Studies Trust,institute study,0
231650708,Integrated Development Education Association,integrate,0
231660566,Integrated Development Trust,integrate,0
231660424,Integrated Research and Action for Development,integrate research action,0
231660054,Integrated Sustainable Energy & Ecological Development  Association,integrate sustainable energy ecological,0
231660395,Interlife India,interlife,0
231660663,International Association for Human Values,international human value,0
231660819,International Awakening Center,international awakening center,0
231660535,International Center for Research on Women,international center research woman,0
231650039,International Cooperative Alliancee,international cooperative alliance,0
231660310,International Development Enterprises,international enterprise,0
231661297,International Foundation for Research and Education,international research,0
231660495,International Goudiya Vedanta Trust,international goudiya vedanta,0
231660179,International Life Science Institute - India,international life science institute,0
231661307,INTERNATIONAL MAITREYA FOUNDATION,international maitreya,0
